title,details,type,type_id,host,date,time,location,link
Virtual COVID-19 Support Discussion Group,"Are you a student being directly impacted by COVID-19 through family or friends on the frontlines of service or that are sick?Join our Zoom forums to talk through the stress, fear and other difficult emotions that COVID-19 has brought into our lives.4/15 | 3:00PM EST | https://duke.zoom.us/j/685453427Conversations will be facilitated by DukeReach, Duwell and CAPS staff.",Health/Wellness,1,Student Wellness Center,"Wed, Apr 15, 2020",3 PM – 4 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=702620
Guided Meditation with Dean Sue,"Join Dean Sue for online weekly guided meditations as a tool to decrease stress.All levels of experience are welcome, and the sessions are open to all Duke students, faculty, and staff.Sessions start April 7th and end April 21st!Time: 2-2:50PMZoom Link: https://duke.zoom.us/j/324082444",Health/Wellness,1,Student Wellness Center,"Tue, Apr 14, 2020",2 PM – 2:45 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=698922
VIRTUAL- Knitting Group in the Wellness Center,"Created by one of our Wellness Interns, this wellness experience gives you a chance to become a part of an inclusive community while learning or improving upon a skill that promotes wellness through the mindful activity of knitting. All materials are provided and no prior experience necessary!We have moved this group online! Join Zoom, and use the meeting ID: 424-125-060Wednesdays- 6:30pm-7:20pm",Health/Wellness,1,Student Wellness Center,"Mon, Apr 13, 2020",6:30 PM – 7:20 PM EDT (GMT-4),"We have moved this group online! Join Zoom, and use the meeting ID: 424-125-060  Wednesdays- 6:30pm-7:20pm",https://dukegroups.com/events/rsvp?id=644545
VIRTUAL-Sleight of Hand in the Wellness Center,"This wellness experience gives you the opportunity to learn sleight of hand techniques and close-up magic in an inviting, fun, and relaxed social atmosphere. No experience necessary! Performing magic serves as a positive distraction, provides an opportunity to learn a new skill to share with others, and promotes mindfulness through hands-on learning. Each session is facilitated by a member of the Duke Sleight Club.This group has moved online. Join Zoom, use the meeting ID: 319-057-301Mondays- 5:00pm - 5:50pm.",Health/Wellness,1,Student Wellness Center,"Mon, Apr 13, 2020",5 PM – 5:50 PM EDT (GMT-4),Student Wellness Center | Oasis Room 129,https://dukegroups.com/events/rsvp?id=644518
VIRTUAL-Yoga in the Wellness Center,"This wellness experience will allow you to focus on your mind-body connection through physical poses, controlled breathing, and relaxation that will help you manage stress and anxiety.We have moved this group online! Join Zoom, and use the meeting ID: 522-683-8410.Mondays- 4:00pm-4:50pm.",Health/Wellness,1,Student Wellness Center,"Mon, Apr 13, 2020",4 PM – 4:50 PM EDT (GMT-4),"We have moved this group online! Join Zoom, and use the meeting ID: 522-683-8410.",https://dukegroups.com/events/rsvp?id=644501
VIRTUAL-Tea Tasting in the Wellness Center,"In partnership with Duke CommuniTEA, this wellness experience allows you to gain a deeper understanding of wellness through tea culture. You will have the opportunity to interact through the medium of tea appreciation in a space that promotes relaxation and self-care.This group has moved online. Join Zoom, use the meeting ID: 542-447-2388Sundays from 5:00pm - 5:50pm.",Health/Wellness,1,Student Wellness Center,"Sun, Apr 12, 2020",5 PM – 5:50 PM EDT (GMT-4),Student Wellness Center | Oasis Room 129,https://dukegroups.com/events/rsvp?id=644391
VIRTUAL- Recovery Group Meeting,Are you in recovery? Do you need support and community? Join DuWell on Sundays at 4PM on Zoom. https://duke.zoom.us/j/238991467,Health/Wellness,1,Student Wellness Center,"Sun, Apr 12, 2020",4 PM – 5 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=687061
Guided Meditation with Dean Sue,"Join Dean Sue for online weekly guided meditations as a tool to decrease stress.All levels of experience are welcome, and the sessions are open to all Duke students, faculty, and staff.Sessions start April 7th and end April 21st!Time: 2-2:50PMZoom Link: https://duke.zoom.us/j/324082444",Health/Wellness,1,Student Wellness Center,"Tue, Apr 7, 2020",2 PM – 2:50 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=698913
VIRTUAL- Knitting Group in the Wellness Center,"Created by one of our Wellness Interns, this wellness experience gives you a chance to become a part of an inclusive community while learning or improving upon a skill that promotes wellness through the mindful activity of knitting. All materials are provided and no prior experience necessary!We have moved this group online! Join Zoom, and use the meeting ID: 424-125-060Wednesdays- 6:30pm-7:20pm",Health/Wellness,1,Student Wellness Center,"Mon, Apr 6, 2020",6:30 PM – 7:20 PM EDT (GMT-4),Student Wellness Center | Oasis Room 128,https://dukegroups.com/events/rsvp?id=644544
VIRTUAL- Sleight of Hand in the Wellness Center,"This wellness experience gives you the opportunity to learn sleight of hand techniques and close-up magic in an inviting, fun, and relaxed social atmosphere. No experience necessary! Performing magic serves as a positive distraction, provides an opportunity to learn a new skill to share with others, and promotes mindfulness through hands-on learning. Each session is facilitated by a member of the Duke Sleight Club.This group has moved online. Join Zoom, use the meeting ID: 319-057-301Mondays- 5:00pm - 5:50pm.",Health/Wellness,1,Student Wellness Center,"Mon, Apr 6, 2020",5 PM – 5:50 PM EDT (GMT-4),Student Wellness Center | Oasis Room 129,https://dukegroups.com/events/rsvp?id=644517
