title,details,type,type_id,host,date,time,location,link
Flashback Friday: Duke vs UConn Watch Party,Come watch Duke WBB play UConn in 2004.,Social,2,Duke University Union,"Fri, Apr 17, 2020",9 PM – 11:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=702882
Virtual Movies Trivia,"Duke@Nite's weekly trivia, but make it virtual!",Social,2,DUU Duke @ Nite,"Thu, Apr 16, 2020",9 PM – 11 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=698598
Throwback Thursday: Duke vs UNC Watch Party,Come watch Duke play UNC in the 2015.,Social,2,Duke University Union,"Thu, Apr 16, 2020",9 PM – 11:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=702881
Virtual 2000s Pop Culture Trivia,"Duke@Nite's weekly trivia, but make it virtual!",Social,2,DUU Duke @ Nite,"Thu, Apr 9, 2020",9 PM – 11 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=698596
E-Social,A social event hosted by a company or student organization meant for engineering students to learn about the organization and socialize on a Friday afternoon.,Social,2,Engineering Student Government,"Fri, Mar 13, 2020",4:30 PM – 6 PM EDT (GMT-4),Harrington Quad,https://dukegroups.com/events/rsvp?id=648217
Pie a UNC Student,Pie a UNC Student for charity! Alpha Phi Omega will be on the Bryan Center Plaza to host a pie-ing contest on game day. All proceeds will be donated to Diaper Bank of North Carolina. Cash and Flex accepted. (note: not actual UNC students),Social,2,Alpha Phi Omega,"Sat, Mar 7, 2020",1 PM – 3 PM EST (GMT-5),Bryan Center Plaza,https://dukegroups.com/events/rsvp?id=672530
E-Social,A social event hosted by a company or student organization meant for engineering students to learn about the organization and socialize on a Friday afternoon.,Social,2,Engineering Student Government,"Fri, Mar 6, 2020",4:30 PM – 6 PM EST (GMT-5),Harrington Quad,https://dukegroups.com/events/rsvp?id=648216
DukeAfrica Kickback,The DukeAFRICA Kickback is a sit-down dinner for African Students to connect with one another. The goal is for students to take a breather and interact with others in a comfortable space before students leave for Spring Break.Food Provided,Social,2,DukeAFRICA,"Thu, Mar 5, 2020",5:30 PM – 7:30 PM EST (GMT-5),Keohane Atrium,https://dukegroups.com/events/rsvp?id=688747
Duke China Care Playgroup Event,Playgroup event for adopted Chinese children from around the Triangle pertaining to some aspect of Chinese culture,Social,2,Duke China Care,"Sun, Mar 1, 2020",2 PM – 3:30 PM EST (GMT-5),West Duke 106,https://dukegroups.com/events/rsvp?id=647613
Zeta Phi Beta Sorority Incorporated 13th Annual Charity Ball,"The Zeta Phi Beta Sorority Inc., Nu Omicron Chapter would like to invite the Duke community to a night of dining, dance, and donation. We will be raising money through an auction",Social,2,"Zeta Phi Beta Sorority, Inc.","Sat, Feb 29, 2020",7 PM – 10 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=663659
E-Social,A social event hosted by a company or student organization meant for engineering students to learn about the organization and socialize on a Friday afternoon.,Social,2,Engineering Student Government,"Fri, Feb 28, 2020",4:30 PM – 6 PM EST (GMT-5),Harrington Quad,https://dukegroups.com/events/rsvp?id=648215
Throwback Thursday,"DUU Special Events will be soaking up some throwback vibes on the BC Plaza on February 20th from 11am – 2 pm! There will be free food, childhood games and activities, music, free T-Shirts & a photo booth!",Social,2,DUU Special Events,"Thu, Feb 27, 2020",11 AM – 2 PM EST (GMT-5),BC Plaza,https://dukegroups.com/events/rsvp?id=690872
DIY Game Day Attire,Bring your T-shirts and creativity and we'll help you crop and DIY your gear. There will also be free gameday gear in Duke blue!,Social,2,DUU Visual Arts Committee,"Mon, Feb 24, 2020",4:45 PM – 6:45 PM EST (GMT-5),The Landing in the Bryan Center,https://dukegroups.com/events/rsvp?id=670027
