title,details,type,type_id,host,date,time,location,link
[VIRTUAL] List Poems,"From litanies to groceries to Joe Brainard's ""I Remember,"" the listing impulse is meaningful, useful, and powerfully poetic. In this workshop we'll examine and discuss several examples of list poems and their methods, with an emphasis on their modular construction and the advantages of generative writing. Then, we'll each come up with a strategy for generating a list poem and start into writing one.",Workshop/Short Course,3,The Writers' Collective,"Thu, Apr 16, 2020",6 PM – 7 PM EDT (GMT-4),[VIRTUAL],https://dukegroups.com/events/rsvp?id=697183
Figure Drawing,"Want to practice your drawing skills? Interested in learning about figure drawing? Need reference material for an art class at Duke?DUU VisArts will be holding free weekly Figure Drawing workshops as a resource for Duke students and faculty looking to hone their drawing skills or to learn drawing skills!Instructor led sessions with Paige Welch will take place the first Monday of each month. Drawing supplies will be provided, please bring your Duke ID to each workshop.RSVP here: bit.ly/309hCOx",Workshop/Short Course,3,DUU Visual Arts Committee,"Mon, Mar 9, 2020",6 PM – 7:30 PM EDT (GMT-4),"Smith Warehouse, Bay 12, Room 200",https://dukegroups.com/events/rsvp?id=670144
Student Organization Transition Academy,All SOFC affiliated organizations must send 2 members in order to complete SOTA Training.,Workshop/Short Course,3,Division of Student Affairs,"Wed, Mar 4, 2020",5 PM – 7:30 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=692372
Ranjani Ramakrishnan Violin Workshop,"SPEND AN EVENING REVELING IN THE TRADITIONAL & THOUGHTFUL LANGUAGE OF CARNATIC MUSIC- THE MUSIC OF SOUTHERN INDIA, THROUGH THE D'VIOLIN - A UNIQUE COMBINATION OF A BAROQUE PATTERN 5 STRING INSTRUMENT WITH A VIOLA D'AMORE SYMPATHETIC STRING DESIGN.",Workshop/Short Course,3,Duke Sangeet,"Tue, Mar 3, 2020",6 PM – 8 PM EST (GMT-5),Mosaic at Keohane Atrium,https://dukegroups.com/events/rsvp?id=692461
ASL Lessons,Free ASL lessons offered weekly on campus to all members of the Duke CommunityFile Attachments:,Workshop/Short Course,3,Duke ASL,"Tue, Mar 3, 2020",6 PM – 7 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=676217
ASL Lessons,Free ASL lessons offered weekly on campus to all members of the Duke CommunityFile Attachments:,Workshop/Short Course,3,Duke ASL,"Tue, Mar 3, 2020",6 PM – 7 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=676208
ASL Lessons,Free ASL lessons offered weekly on campus to all members of the Duke CommunityFile Attachments:,Workshop/Short Course,3,Duke ASL,"Tue, Mar 3, 2020",6 PM – 7 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=676199
Student Organization Transition Academy,All SOFC affiliated organizations must send 2 members in order to complete SOTA Training.,Workshop/Short Course,3,Division of Student Affairs,"Tue, Mar 3, 2020",5 PM – 7:30 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=692371
Figure Drawing,"Want to practice your drawing skills? Interested in learning about figure drawing? Need reference material for an art class at Duke?DUU VisArts will be holding free weekly Figure Drawing workshops as a resource for Duke students and faculty looking to hone their drawing skills or to learn drawing skills!Instructor led sessions with Paige Welch will take place the first Monday of each month. Drawing supplies will be provided, please bring your Duke ID to each workshop.RSVP here: bit.ly/309hCOx",Workshop/Short Course,3,DUU Visual Arts Committee,"Mon, Mar 2, 2020",6 PM – 7:30 PM EST (GMT-5),"Smith Warehouse, Bay 12, Room 200",https://dukegroups.com/events/rsvp?id=670143
Body Project,"Are you interested in exploring body positivity and body confidence? Sign up for the Body Project which is a FREE interactive women's empowerment workshop.Dates: February 28th and March 2ndLocation: Student Wellness Center Room 150Time: 3:00PM-5:00PMThis workshop provides a forum for female students to confront unrealistic beauty ideals and engage them in the development of healthy body image through verbal, written, and behavioral exercises",Workshop/Short Course,3,Student Wellness Center,"Mon, Mar 2, 2020",3 PM – 5 PM EST (GMT-5),"Student Wellness Center Room 150 (First Floor, Beside the Pharmacy)",https://dukegroups.com/events/rsvp?id=687084
How to Cure a Ghost: The Power of Vulnerability in Creative Expression,"**RSVP Required**Led by esteemed poet Fariha Róisín, this workshop will explore the transformative power of vulnerability in creative expression, using Fariha's book ""How To Cure A Ghost"" as a tool. The hour-long session will consist of three parts centered on three important questions:First - What is Vulnerability?Second - Why is it a useful resource in our lives for creativity, and healing?Third - How can we start adapting our experiences to create strong, important work that will have an impact on the world?About Fariha:Fariha writes on Muslim identity, race, self-care, pop culture, and film (as well as queerness and how that intersects with being a femme of color navigating a white world), and has written for The New York Times, Al Jazeera, The Guardian, Vice, them, Fusion, Village Voice and others. She has a poetry book entitled ""How To Cure A Ghost"" that came out this year as well as a journal on femme/non-binary body empowerment called ""Being In Your Body"". She's also working on her first novel, entitled ""Like A Bird,"" to be out in Fall 2020. For more info, visit her website https://www.fariharoisin.com/.RSVP is required to attend. Please visit: https://forms.gle/yDfS8cfMNYqb8owz7",Workshop/Short Course,3,The Writers' Collective,"Sat, Feb 29, 2020",12 PM – 1 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=643001
