title,details,type,type_id,host,date,time,location,link
VIRTUAL-Wellness Wednesday,"Join us for the first part of this two part series called Mindful Movement and Eating! This first segment will focus on mindful movement with Duke Rec Director of Fitness and Wellness, Leigh Ann Garstecki, where she will talk about how to add moments of movement into your new routine and the benefits of doing so.  Although getting in your workout may be important, so are scheduled interruptions that get you moving periodically throughout the day.  It's important for your physical and mental wellbeing!",Lecture/Talk,4,Dining,"Wed, Apr 15, 2020",12 PM – 12:30 PM EDT (GMT-4),Private Location (register to display),https://dukegroups.com/events/rsvp?id=702905
Service Above Self,"Service Above Self is an annual event hosted by the Rotaract Club of Duke University in which three speakers will share about their lives and careers, especially with regards to how service and Rotary International have impacted their lives. The speakers will include one member each from the Rotary Clubs of Durham and Southwest Durham as well as a Peace Fellow from the Duke-UNC Rotary Peace Center. This is an amazing opportunity to network with some inspiring individuals and learn about how they have been able to integrate giving back to their communities into their professional lives. This event is free and open to all. Catered refreshments will be provided.Food Provided",Lecture/Talk,4,Rotaract Club of Duke University,"Tue, Mar 3, 2020",7 PM – 8:30 PM EST (GMT-5),Schiciano Auditorium,https://dukegroups.com/events/rsvp?id=680209
Physics Circles: Dripto Debroy,"Dripto Debroy, a Duke physics PhD candidate, will present his research in a talk entitled ""Quantum Computing/Error Correction"" as part of the Physics Circles seminar series. Hosted at the North Carolina School of Science and Mathematics (NCSSM), Physics Circles aims to educate and inform local high schoolers about current research performed by physics graduate students. Physics Circles provides speaking and outreach opportunities for graduate students while serving NCSSM and Duke University.Food Provided (Pizza)",Lecture/Talk,4,Physics Outreach @ Duke,"Mon, Mar 2, 2020",4:30 PM – 5:30 PM EST (GMT-5),"North Carolina School of Science and Mathematics, Bryan 443",https://dukegroups.com/events/rsvp?id=686322
Healing Wounds through Creative Expression: Keynote and Q&A with Fariha Róisín,"Join the Duke Writers' Collective for a keynote, reading, and Q&A with esteemed Bangladeshi-Australian poet and novelist Fariha Róisín.Fariha writes on Muslim identity, race, self-care, pop culture, and film (as well as queerness and how that intersects with being a femme of color navigating a white world), and has written for The New York Times, Al Jazeera, The Guardian, Vice, them, Fusion, Village Voice and others. She has a poetry book entitled ""How To Cure A Ghost"" that came out this year as well as a journal on femme/non-binary body empowerment called ""Being In Your Body"". She's also working on her first novel, entitled ""Like A Bird,"" to be out in Fall 2020. For more info, visit her website https://www.fariharoisin.com/.",Lecture/Talk,4,The Writers' Collective,"Sat, Feb 29, 2020",2 PM – 3:15 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=644168
From Wall Street to Million Dollar Startup - Lessons Learned,"Join us for a lecture and interactive Q&A session with Aaron Fuchs, Yale alum and founder of iXperience! He will be discussing his career path, insights into the current job market, tips to boost your career, and killer career / life advice for college grads. Dinner will be served!",Lecture/Talk,4,Duke Association for Business Oriented Women,"Thu, Feb 27, 2020",6 PM – 7 PM EST (GMT-5),McClendon 5,https://dukegroups.com/events/rsvp?id=683023
Networking in Nursing,"This event will be a professional development workshop where the topics of building your networking skills, creating an elevator speech, attending conferences, interviews, resume's, etc will be discussed by DUSON's own Dr. Tolu Oyensanya.Food Provided (Pizza, Juice, Water)",Lecture/Talk,4,DUSON Fusion,"Thu, Feb 27, 2020",5:30 PM – 7 PM EST (GMT-5),Duke School of Nursing Pearson 1009,https://dukegroups.com/events/rsvp?id=689197
Chat with Chaz,"Democratic candidate for Lieutenant Governor, Rep. Chaz Beasley, will join Duke Dems for an evening of conversation.Food Provided",Lecture/Talk,4,Duke Democrats,"Wed, Feb 26, 2020",7 PM – 8 PM EST (GMT-5),Bolton Family Tower,https://dukegroups.com/events/rsvp?id=681442
Anxiety 101 Panel,This panel will include several medical professionals who are speaking to students about anxiety.,Lecture/Talk,4,NeuroCare,"Wed, Feb 26, 2020",6 PM – 8 PM EST (GMT-5),Social Sciences 311,https://dukegroups.com/events/rsvp?id=688466
Public Speaking - How to Manipulate Your Audience's Brain (w/ Professor Jeremy Petranka),"""Ever watch someone speak and suddenly notice you've been daydreaming? While public speakers can be effective utilizing a number of different styles, key components to any type of presentation involve keeping your audience's attention and ensuring they receive the information you are sharing. As it turns out, in the right environment our brains are wired to do exactly this. This session will discuss how our brains process information and how we can utilize these traits to provide an environment in which your audience is engaged, attentive, and receptive.""Dr. Jeremy Petranka is an Associate Professor of the Practice in the Fuqua School of Business. He received his Ph.D. in Economics from UNC Chapel Hill in 2009, and has since taught undergraduates and MBA students at Indiana University's Kelley School of Business and UNC Chapel Hill. Prior to his career in academia, Jeremy worked as a management consultant, working with multiple Fortune 100 companies to align their information technology with their business strategies, focusing heavily on the role of data within the organizations. His work now focuses on the intersection of business and academics, specifically targeting how economics informs managerial decision-making and business strategy.",Lecture/Talk,4,Duke Consulting Club,"Wed, Feb 26, 2020",6 PM – 7:30 PM EST (GMT-5),Sociology Psychology 130,https://dukegroups.com/events/rsvp?id=688768
Luncheon Panel with Houlihan Lokey (investment bank),"Interested in finance and investment banking? Come learn about and network with representatives from Houlihan Lokey, an elite boutique investment bank. Houlihan Lokey has been named the No. 1 investment bank in its class for the past 10 years, with expertise in a wide array of strategic advisory services. We hope to see you there!Food Provided (ABP)",Lecture/Talk,4,Duke Association for Business Oriented Women,"Wed, Feb 26, 2020",12 PM – 1 PM EST (GMT-5),Bolton Family Tower,https://dukegroups.com/events/rsvp?id=683012
