title,details,type,type_id,host,date,time,location,link
Student Exhibition Opening at the Nasher,"Join MUSE at the student opening of the Nasher's new exhibition featuring the works of Ebony G. Patterson. Featuring musical performances by local and student artists. Desserts and refreshments provided. Smart-casual attire encouraged.About the exhibition:Ebony G. Patterson . . . while the dew is still on the roses . . . presents the work of artist Ebony G. Patterson, born in Jamaica in 1981. This is the most significant exhibition of the artist's work to date, presented within a new installation environment that evokes a night garden.Patterson is known for drawings, tapestries, videos, sculptures and installations that involve surfaces layered with flowers, glitter, lace and beads. Her work investigates forms of embellishment as they relate to youth culture within disenfranchised communities. Her neo-baroque works address violence, masculinity, ""bling,"" visibility and invisibility within the post-colonial context of her native Kingston and within black youth culture globally. This exhibition focuses on the role that gardens have played in her practice, referenced as spaces of both beauty and burial, environments filled with fleeting aesthetics and mourning.Food Provided",Panel/Seminar/Colloquim,5,Nasher MUSE,"Thu, Mar 5, 2020",8 PM – 10 PM EST (GMT-5),Nasher Museum of Art,https://dukegroups.com/events/rsvp?id=692814
Duke-UNC First Generation Graduate Student Symposium,"Join us for our third annual Duke-UNC First-Gen Grad Student Symposium on Saturday February 29th in the Korman Assembly Room (Perkins 217) from 8:30am-2:00pm! The Symposium will feature our keynote speaker, Sonja Ardoin whose work as a professor at Appalachian State University focuses on first-gen identity in higher education. Enjoy a day with a first-gen community of students from Duke and UNC while honing skills to articulate and leverage your first-gen story through workshops. Breakfast and lunch will be provided. Please register at https://go.unc.edu/1GenSymposiumDuke",Panel/Seminar/Colloquim,5,First-Generation Graduate Student Network ,"Sat, Feb 29, 2020",8:30 AM – 2 PM EST (GMT-5),Korman Assembly Room Perkins 217,https://dukegroups.com/events/rsvp?id=689062
Duke China-U.S. Summit (DCUS) 2020,"Duke China-U.S. Summit (DCUS) 2020 centers around the theme of ""Beyond 2020: China-U.S. Relations in the New Decade"". As China-U.S. relations enter a new era of rising speculation and competition, DCUS 2020 seeks to engage experts, commentators and professionals across industries to discuss emerging opportunities for China and the U.S. to maintain a mutually beneficial relationship. Panel discussions will focus on multiple areas including but not limited to academic cooperation, technological innovations, and sustainable development.",Panel/Seminar/Colloquim,5,Duke Chinese Student Association,"Sat, Feb 29, 2020",7 AM – 10 PM EST (GMT-5),Penn Pavilion,https://dukegroups.com/events/rsvp?id=642971
Value of Water,"As water variability continues to become a concerning issue around the world, how do we interpret the value we place on water resources? How are impacts quantified at fisheries, mitigation banks, or water authorities? Companies are beginning to focus on the concept of water risk, the impacts of too little or too much water, and rapidly developing technological solutions. This symposium will include discussions about the economic valuation of water resources and how water is intrinsically impacted during resource extraction activities designed to derive value out of natural resources. During this one day symposium, you will learn from professionals in the field to see how businesses, government, and academia approach quantifying the value of water!",Panel/Seminar/Colloquim,5,Ocean Policy Working Group,"Fri, Feb 28, 2020",10 AM – 4:30 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=678670
NCEMSF Conference,"This annual conference is targeted at campus EMS personnel to develop leadership, decision-making, and medical skills.",Panel/Seminar/Colloquim,5,Duke University EMS,"Fri, Feb 28, 2020 8:00 AM –","Sun, Mar 1, 2020 10:00 PM EST (GMT-5)",Sheraton Boston Hotel,https://dukegroups.com/events/rsvp?id=666872
The Place of the Altar and the Shape of the Font: Theological Readings of Early Christian Liturgical Spaces,"The design, decoration, and spatial location of these two central elements of early churches provide concrete evidence for how early Christians would have practiced, experienced and theologically comprehended the eucharistic and baptismal sacraments. This lecture will integrate archeological remains from both East and West with textual sources to illuminate the symbolic, sensory, and spiritual experience of lived Christian practice in antiquity and, finally, explore ways the contemporary Church has drawn upon these resources for liturgical renewal.",Panel/Seminar/Colloquim,5,Duke Catholic Center (Undergraduate Students),"Thu, Feb 27, 2020",7 PM – 8:30 PM EST (GMT-5),Perkins Room 217,https://dukegroups.com/events/rsvp?id=646525
Climate Change Policy Forum,Join Duke Climate Coalition as we welcome Durham Environmental Affairs Board members Don Addu and Jennifer Hill as well as City Council Member Charlie Reece to discuss local and national climate change policy.,Panel/Seminar/Colloquim,5,Duke Climate Coalition,"Mon, Feb 24, 2020",6:30 PM – 7:30 PM EST (GMT-5),Social Sciences 136,https://dukegroups.com/events/rsvp?id=686017
Why the Catholic Church Is Not Pacifist: Understanding the Church's View on War and Peace,"The talk will introduce students to the Church's understanding of the permissible uses of military force and its limits, by looking at major figures in the tradition, including Augustine, Aquinas, Vitoria and contemporary teachings. The talk will discuss alternative views on force, including pacifism, and explain that peacemaking sometimes involves the judicious use of force against those who upset peace",Panel/Seminar/Colloquim,5,Duke Catholic Center (Undergraduate Students),"Thu, Feb 13, 2020",7 PM – 8:30 PM EST (GMT-5),Perkins Room 217,https://dukegroups.com/events/rsvp?id=646524
CPM Annual Film Festival,"Join Duke's Coalition for Preserving Memory (CPM) to view three important films dedicated to remembering and raising awareness about mass atrocities and human rights crimes: ""Leaving Memel,"" ""Violins of Hope,"" and ""The Armenian Genocide"" (originally aired on PBS). We will have two guest speakers and dinner! Come for one film or stay for all three!Food Provided",Panel/Seminar/Colloquim,5,Coalition for Preserving Memory,"Sat, Feb 8, 2020",1 PM – 6 PM EST (GMT-5),Rubenstein Arts Center Film Screening Room,https://dukegroups.com/events/rsvp?id=647259
Graduate Connections,Please us for an exciting night of networking and gaining new knowledge about graduate school opportunities and the graduate student experience. There will be a panel and Q&A session with current Duke Graduate students and free food!Food Provided,Panel/Seminar/Colloquim,5,"Delta Sigma Theta Sorority, Inc.","Thu, Feb 6, 2020",6 PM – 8 PM EST (GMT-5),TBD,https://dukegroups.com/events/rsvp?id=659199
"Black Trans in Arts, Academia, and Activism","This event is meant to be a lesson in the ways that the Black Transgender community has contributed to the culture of this nation in ways both large and small. We will examine the contributions of the Black trans community specifically through arts( film, visual, and musical), Academia, and Activism. We will do this through breakout discussions, video clips, and possibly very(very) short readings/quotes.",Panel/Seminar/Colloquim,5,"Zeta Phi Beta Sorority, Inc.","Mon, Nov 2, 2020",7 PM – 8 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=876916
Virtual Healthcare & Life Sciences Fair,"Attend this fair to meet with organizations who have internships and professional level positions for undergraduate and graduate students. All programs and majors are welcome to participate, meet representatives and explore the opportunities available within the healthcare and life sciences industries.[]",Panel/Seminar/Colloquim,5,Career Center,"Fri, Oct 30, 2020",1 PM – 4 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=862759
Introduction To Finance Panel,,Panel/Seminar/Colloquim,5,Latin American Student Organization,"Thu, Oct 29, 2020",7:30 PM – 8:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=864211
Multicultural Greek 101,Grekek Panel with multicultural implications,Panel/Seminar/Colloquim,5,National Pan-Hellenic Council,"Thu, Oct 29, 2020",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=867959
Duke Africa/SOCA/DESTA Greek 101 Panel,Greek panel for Duke Africa/SOCA/DESTA,Panel/Seminar/Colloquim,5,National Pan-Hellenic Council,"Thu, Oct 29, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=867957
Race in Nursing Panel,Geared toward discussion of concrete ways to address and understand racism and build allyship and advocacy as nursing students and early-career nurses,Panel/Seminar/Colloquim,5,DUSON Fusion,"Wed, Oct 28, 2020",6 PM – 7 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=834313
UBA Greek 101 Panel,Greek Panel with United Black Athletes,Panel/Seminar/Colloquim,5,National Pan-Hellenic Council,"Mon, Oct 26, 2020",8 PM – 9 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=867954
DukeLife Panel,Panel with DukeLife,Panel/Seminar/Colloquim,5,National Pan-Hellenic Council,"Mon, Oct 26, 2020",7 PM – 8 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=867958
Physics Outreach at Duke general meeting,Zoom meeting to discuss outreach ideas for the 2020-2021 academic year.,Panel/Seminar/Colloquim,5,Physics Outreach @ Duke,"Mon, Oct 26, 2020",4 PM – 5 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=878379
AAXelence,"The Alumni of the Infamous Alpha Alpha Chi Chapter of Phi Beta Sigma Fraternity Incorporated will discuss their careers and their respective career paths in a panel format. After the presentation, breakout rooms will be formed where the alumni will go into more detail with students interested in the alumni's careers.",Panel/Seminar/Colloquim,5,"Phi Beta Sigma Fraternity, Inc.","Thu, Oct 22, 2020",7:15 PM – 8:30 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=861924
Duke Water Network Virtual Fall Symposium,"Join Duke Water Network on October 16th and October 23rd as we take a look at Water & Borders, exploring interstate water issues in the United States and international water scarcity issues, as they relate to conflict and migration. We seek to learn how academia, governments, NGOs, and local residents are impacted by and addressing issues related to water and borders.",Panel/Seminar/Colloquim,5,Duke Water Network,"Fri, Oct 16, 2020",3 PM – 5 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=853123
